Sentence: 1,Super,NNP,
 ,Bowl,NNP,
 ,50,CD,
 ,was,VBD,
 ,an,DT,
 ,American,JJ,
 ,football,NN,
 ,game,NN,
 ,to,TO,
 ,determine,VB,
 ,the,DT,
 ,champion,NN,
 ,of,IN,
 ,the,DT,
 ,National,NNP,
 ,Football,NNP,
 ,League,NNP,
 ,(,-LRB-,
 ,NFL,NNP,
 ,),-RRB-,
 ,for,IN,
 ,the,DT,
 ,2015,CD,
 ,season,NN,
 ,.,.,
 ,The,DT,
 ,American,NNP,
 ,Football,NNP,
 ,Conference,NNP,
 ,(,-LRB-,
 ,AFC,NNP,
 ,),-RRB-,
 ,champion,NN,
 ,Denver,NNP,
 ,Broncos,NNP,
 ,defeated,VBD,
 ,the,DT,
 ,National,NNP,
 ,Football,NNP,
 ,Conference,NNP,
 ,(,-LRB-,
 ,NFC,NNP,
 ,),-RRB-,
 ,champion,NN,
 ,Carolina,NNP,
 ,Panthers,NNP,
 ,24–10,CD,
 ,to,TO,
 ,earn,VB,
 ,their,PRP$,
 ,third,JJ,
 ,Super,NNP,
 ,Bowl,NNP,
 ,title,NN,
 ,.,.,
 ,The,DT,
 ,game,NN,
 ,was,VBD,
 ,played,VBN,
 ,on,IN,
 ,February,NNP,
 ,7,CD,
 ,",",",",
 ,2016,CD,
 ,",",",",
 ,at,IN,
 ,Levi,NNP,
 ,'s,POS,
 ,Stadium,NNP,
 ,in,IN,
 ,the,DT,
 ,San,NNP,
 ,Francisco,NNP,
 ,Bay,NNP,
 ,Area,NNP,
 ,at,IN,
 ,Santa,NNP,
 ,Clara,NNP,
 ,",",",",
 ,California,NNP,
 ,.,.,
 ,As,IN,
 ,this,DT,
 ,was,VBD,
 ,the,DT,
 ,50th,JJ,
 ,Super,NNP,
 ,Bowl,NNP,
 ,",",",",
 ,the,DT,
 ,league,NN,
 ,emphasized,VBD,
 ,the,DT,
 ,"""",``,
 ,golden,JJ,
 ,anniversary,NN,
 ,"""",'',
 ,with,IN,
 ,various,JJ,
 ,gold,NN,
 ,-,HYPH,
 ,themed,JJ,
 ,initiatives,NNS,
 ,",",",",
 ,as,RB,
 ,well,RB,
 ,as,IN,
 ,temporarily,RB,
 ,suspending,VBG,
 ,the,DT,
 ,tradition,NN,
 ,of,IN,
 ,naming,VBG,
 ,each,DT,
 ,Super,NNP,
 ,Bowl,NNP,
 ,game,NN,
 ,with,IN,
 ,Roman,JJ,
 ,numerals,NNS,
 ,(,-LRB-,
 ,under,IN,
 ,which,WDT,
 ,the,DT,
 ,game,NN,
 ,would,MD,
 ,have,VB,
 ,been,VBN,
 ,known,VBN,
 ,as,IN,
 ,"""",``,
 ,Super,NNP,
 ,Bowl,NNP,
 ,L,NNP,
 ,"""",'',
 ,),-RRB-,
 ,",",",",
 ,so,IN,
 ,that,IN,
 ,the,DT,
 ,logo,NN,
 ,could,MD,
 ,prominently,RB,
 ,feature,VB,
 ,the,DT,
 ,Arabic,JJ,
 ,numerals,NNS,
 ,50,CD,
 ,.,.,
Sentence: 2,The,DT,
 ,Panthers,NNPS,
 ,finished,VBD,
 ,the,DT,
 ,regular,JJ,
 ,season,NN,
 ,with,IN,
 ,a,DT,
 ,15–1,JJ,
 ,record,NN,
 ,",",",",
 ,and,CC,
 ,quarterback,NN,
 ,Cam,NNP,
 ,Newton,NNP,
 ,was,VBD,
 ,named,VBN,
 ,the,DT,
 ,NFL,NNP,
 ,Most,NNP,
 ,Valuable,NNP,
 ,Player,NNP,
 ,(,-LRB-,
 ,MVP,NNP,
 ,),-RRB-,
 ,.,.,
 ,They,PRP,
 ,defeated,VBD,
 ,the,DT,
 ,Arizona,NNP,
 ,Cardinals,NNPS,
 ,49–15,CD,
 ,in,IN,
 ,the,DT,
 ,NFC,NNP,
 ,Championship,NNP,
 ,Game,NNP,
 ,and,CC,
 ,advanced,VBD,
 ,to,IN,
 ,their,PRP$,
 ,second,JJ,
 ,Super,NNP,
 ,Bowl,NNP,
 ,appearance,NN,
 ,since,IN,
 ,the,DT,
 ,franchise,NN,
 ,was,VBD,
 ,founded,VBN,
 ,in,IN,
 ,1995,CD,
 ,.,.,
 ,The,DT,
 ,Broncos,NNPS,
 ,finished,VBD,
 ,the,DT,
 ,regular,JJ,
 ,season,NN,
 ,with,IN,
 ,a,DT,
 ,12–4,JJ,
 ,record,NN,
 ,",",",",
 ,and,CC,
 ,denied,VBD,
 ,the,DT,
 ,New,NNP,
 ,England,NNP,
 ,Patriots,NNPS,
 ,a,DT,
 ,chance,NN,
 ,to,TO,
 ,defend,VB,
 ,their,PRP$,
 ,title,NN,
 ,from,IN,
 ,Super,NNP,
 ,Bowl,NNP,
 ,XLIX,NN,
 ,by,IN,
 ,defeating,VBG,
 ,them,PRP,
 ,20–18,NN,
 ,in,IN,
 ,the,DT,
 ,AFC,NNP,
 ,Championship,NNP,
 ,Game,NNP,
 ,.,.,
 ,They,PRP,
 ,joined,VBD,
 ,the,DT,
 ,Patriots,NNPS,
 ,",",",",
 ,Dallas,NNP,
 ,Cowboys,NNPS,
 ,",",",",
 ,and,CC,
 ,Pittsburgh,NNP,
 ,Steelers,NNP,
 ,as,IN,
 ,one,CD,
 ,of,IN,
 ,four,CD,
 ,teams,NNS,
 ,that,WDT,
 ,have,VBP,
 ,made,VBN,
 ,eight,CD,
 ,appearances,NNS,
 ,in,IN,
 ,the,DT,
 ,Super,NNP,
 ,Bowl,NNP,
 ,.,.,
Sentence: 3,The,DT,
 ,Broncos,NNPS,
 ,took,VBD,
 ,an,DT,
 ,early,JJ,
 ,lead,NN,
 ,in,IN,
 ,Super,NNP,
 ,Bowl,NNP,
 ,50,CD,
 ,and,CC,
 ,never,RB,
 ,trailed,VBD,
 ,.,.,
 ,Newton,NNP,
 ,was,VBD,
